TEMP 60,,,,TEMP 62,,,,TEMP 65,,
Pos,Name,Cp,,Pos,Name,Cp,,Pos,Name,Cp
D11,ABL1_ALTO,"32,81",,D11,ABL1_ALTO,"34,43",,C5,ABL1_ALTO,"33,96"
D5,ABL1_ALTO,"33,67",,D5,ABL1_ALTO,"34,64",,D5,ABL1_ALTO,34
C5,ABL1_ALTO,"34,03",,C5,ABL1_ALTO,"34,48",,D11,ABL1_ALTO,"33,73"
C11,ABL1_BAIXO,"26,82",,C11,ABL1_BAIXO,"27,22",,A5,ABL1_BAIXO,"26,86"
B5,ABL1_BAIXO,"26,69",,B5,ABL1_BAIXO,"27,12",,B5,ABL1_BAIXO,"26,94"
A5,ABL1_BAIXO,"26,79",,A5,ABL1_BAIXO,"26,95",,C11,ABL1_BAIXO,"27,38"
D3,BCR_ABL_P190_ALTO,"30,67",,B12,BCR-ABL_190_ALTO,"32,23",,D3,BCR_ABL_P190_ALTO,"30,39"
C3,BCR_ABL_P190_ALTO,"31,31",,C3,BCR-ABL_190_ALTO,"30,85",,C3,BCR_ABL_P190_ALTO,"30,16"
B12,BCR_ABL_P190_ALTO,"32,18",,D3,BCR-ABL_190_ALTO,"30,62",,B12,BCR_ABL_P190_ALTO,"31,53"
B3,BCR_ABL_P190_BAIXO,"23,82",,A3,BCR-ABL_190_BAIXO,"24,57",,B3,BCR_ABL_P190_BAIXO,"23,87"
A12,BCR_ABL_P190_BAIXO,"25,03",,A12,BCR-ABL_190_BAIXO,"25,4",,A12,BCR_ABL_P190_BAIXO,"24,13"
A3,BCR_ABL_P190_BAIXO,24,,B3,BCR-ABL_190_BAIXO,"24,61",,A3,BCR_ABL_P190_BAIXO,"23,01"
D1,BCR_ABL_P210_ALTO,"30,14",,B10,BCR-ABL_210_ALTO,"32,94",,D1,BCR_ABL_P210_ALTO,"31,29"
C1,BCR_ABL_P210_ALTO,"31,81",,C1,BCR-ABL_210_ALTO,"31,9",,C1,BCR_ABL_P210_ALTO,31
B10,BCR_ABL_P210_ALTO,"31,01",,D1,BCR-ABL_210_ALTO,"32,54",,B10,BCR_ABL_P210_ALTO,"30,48"
B1,BCR_ABL_P210_BAIXO,"25,41",,A1,BCR-ABL_210_BAIXO,"25,45",,B1,BCR_ABL_P210_BAIXO,"24,61"
A10,BCR_ABL_P210_BAIXO,"24,95",,A10,BCR-ABL_210_BAIXO,"25,78",,A10,BCR_ABL_P210_BAIXO,"23,59"
A1,BCR_ABL_P210_BAIXO,"25,24",,B1,BCR-ABL_210_BAIXO,"25,72",,A1,BCR_ABL_P210_BAIXO,"24,78"
D10,CBFB_MYH11_ALTO,"30,1",,D10,CBFB-MYH11_ALTO,"30,83",,C4,CBFB_MYH11_ALTO,"30,12"
D4,CBFB_MYH11_ALTO,"30,31",,D4,CBFB-MYH11_ALTO,"30,61",,D4,CBFB_MYH11_ALTO,"31,4"
C4,CBFB_MYH11_ALTO,"29,46",,C4,CBFB-MYH11_ALTO,"30,32",,D10,CBFB_MYH11_ALTO,"30,48"
C10,CBFB_MYH11_BAIXO,"24,15",,C10,CBFB-MYH11_BAIXO,"23,23",,A4,CBFB_MYH11_BAIXO,"23,94"
B4,CBFB_MYH11_BAIXO,"22,91",,B4,CBFB-MYH11_BAIXO,"22,91",,B4,CBFB_MYH11_BAIXO,"24,27"
A4,CBFB_MYH11_BAIXO,"22,99",,A4,CBFB-MYH11_BAIXO,"22,98",,C10,CBFB_MYH11_BAIXO,"23,62"
F10,KMT2A_MLLT1_ALTO,"34,62",,C7,KMT2A-MLLT1_ALTO,"35,6",,C7,KMT2A_MLLT1_ALTO,35
D7,KMT2A_MLLT1_ALTO,"34,2",,D7,KMT2A-MLLT1_ALTO,"35,03",,D7,KMT2A_MLLT1_ALTO,"34,88"
C7,KMT2A_MLLT1_ALTO,"34,43",,F10,KMT2A-MLLT1_ALTO,"34,36",,F10,KMT2A_MLLT1_ALTO,"34,49"
E10,KMT2A_MLLT1_BAIXO,"27,8",,A7,KMT2A-MLLT1_BAIXO,"27,1",,A7,KMT2A_MLLT1_BAIXO,"24,88"
B7,KMT2A_MLLT1_BAIXO,"25,9",,B7,KMT2A-MLLT1_BAIXO,"26,98",,B7,KMT2A_MLLT1_BAIXO,"27,28"
A7,KMT2A_MLLT1_BAIXO,"25,22",,E10,KMT2A-MLLT1_BAIXO,"26,21",,E10,KMT2A_MLLT1_BAIXO,"27,55"
F11,KMT2A_MLLT10_ALTO,,,C8,KMT2A-MLLT10_ALTO,"37,53",,C8,KMT2A_MLLT10_ALTO,
D8,KMT2A_MLLT10_ALTO,,,D8,KMT2A-MLLT10_ALTO,,,D8,KMT2A_MLLT10_ALTO,
C8,KMT2A_MLLT10_ALTO,,,F11,KMT2A-MLLT10_ALTO,,,F11,KMT2A_MLLT10_ALTO,
E11,KMT2A_MLLT10_BAIXO,"27,42",,A8,KMT2A-MLLT10_BAIXO,"27,54",,A8,KMT2A_MLLT10_BAIXO,"28,78"
B8,KMT2A_MLLT10_BAIXO,"28,26",,B8,KMT2A-MLLT10_BAIXO,"28,2",,B8,KMT2A_MLLT10_BAIXO,"28,92"
A8,KMT2A_MLLT10_BAIXO,"28,11",,E11,KMT2A-MLLT10_BAIXO,"27,89",,E11,KMT2A_MLLT10_BAIXO,"28,48"
F12,KMT2A_MLLT3_ALTO,"34,01",,C9,KMT2A-MLLT3_ALTO,"32,63",,C9,KMT2A_MLLT3_ALTO,"34,36"
D9,KMT2A_MLLT3_ALTO,"33,31",,D9,KMT2A-MLLT3_ALTO,"34,34",,D9,KMT2A_MLLT3_ALTO,"36,27"
C9,KMT2A_MLLT3_ALTO,"30,37",,F12,KMT2A-MLLT3_ALTO,"35,08",,F12,KMT2A_MLLT3_ALTO,"36,41"
E12,KMT2A_MLLT3_BAIXO,"22,96",,A9,KMT2A-MLLT3_BAIXO,"28,42",,A9,KMT2A_MLLT3_BAIXO,"26,93"
B9,KMT2A_MLLT3_BAIXO,"28,15",,B9,KMT2A-MLLT3_BAIXO,"28,53",,B9,KMT2A_MLLT3_BAIXO,"28,76"
A9,KMT2A_MLLT3_BAIXO,"27,58",,E12,KMT2A-MLLT3_BAIXO,"28,26",,E12,KMT2A_MLLT3_BAIXO,"28,89"
D2,PML_RARA_ALTO,"29,48",,B11,PML-RARA_ALTO,"32,02",,D2,PML_RARA_ALTO,"30,33"
C2,PML_RARA_ALTO,"29,51",,C2,PML-RARA_ALTO,"30,05",,C2,PML_RARA_ALTO,"30,39"
B11,PML_RARA_ALTO,31,,D2,PML-RARA_ALTO,"29,9",,B11,PML_RARA_ALTO,"28,84"
B2,PML_RARA_BAIXO,"21,73",,A2,PML-RARA_BAIXO,"22,08",,B2,PML_RARA_BAIXO,"23,08"
A11,PML_RARA_BAIXO,"23,49",,A11,PML-RARA_BAIXO,"24,09",,A11,PML_RARA_BAIXO,"21,51"
A2,PML_RARA_BAIXO,"22,54",,B2,PML-RARA_BAIXO,"22,23",,A2,PML_RARA_BAIXO,"21,97"
D12,RUNX1_RUNX1T1_ALTO,"30,99",,D12,RUNX1-RUNX1T1_ALTO,"31,1",,C6,RUNX1_RUNX1T1_ALTO,"32,03"
D6,RUNX1_RUNX1T1_ALTO,"30,5",,D6,RUNX1-RUNX1T1_ALTO,"31,47",,D6,RUNX1_RUNX1T1_ALTO,"31,57"
C6,RUNX1_RUNX1T1_ALTO,"30,68",,C6,RUNX1-RUNX1T1_ALTO,"31,45",,D12,RUNX1_RUNX1T1_ALTO,"31,54"
C12,RUNX1_RUNX1T1_BAIXO,"24,8",,C12,RUNX1-RUNX1T1_BAIXO,"25,33",,A6,RUNX1_RUNX1T1_BAIXO,"24,54"
B6,RUNX1_RUNX1T1_BAIXO,"24,15",,B6,RUNX1-RUNX1T1_BAIXO,"24,21",,B6,RUNX1_RUNX1T1_BAIXO,"24,68"
A6,RUNX1_RUNX1T1_BAIXO,"23,43",,A6,RUNX1-RUNX1T1_BAIXO,"23,85",,C12,RUNX1_RUNX1T1_BAIXO,"24,93"
