TEMPERATURA 60°C,,TEMPERATURA 62°C,,TEMPERATURA 65°C,
FUSÃO,Cq,FUSÃO,Cq,FUSÃO,Cq
ABL1_ALTO,"32,81",ABL1_ALTO,"34,43",ABL1_ALTO,"33,96"
ABL1_ALTO,"33,67",ABL1_ALTO,"34,64",ABL1_ALTO,34
ABL1_ALTO,"34,03",ABL1_ALTO,"34,48",ABL1_ALTO,"33,73"
ABL1_BAIXO,"26,82",ABL1_BAIXO,"27,22",ABL1_BAIXO,"26,86"
ABL1_BAIXO,"26,69",ABL1_BAIXO,"27,12",ABL1_BAIXO,"26,94"
ABL1_BAIXO,"26,79",ABL1_BAIXO,"26,95",ABL1_BAIXO,"27,38"
BCR_ABL_P190_ALTO,"30,67",BCR-ABL_190_ALTO,"32,23",BCR_ABL_P190_ALTO,"30,39"
BCR_ABL_P190_ALTO,"31,31",BCR-ABL_190_ALTO,"30,85",BCR_ABL_P190_ALTO,"30,16"
BCR_ABL_P190_ALTO,"32,18",BCR-ABL_190_ALTO,"30,62",BCR_ABL_P190_ALTO,"31,53"
BCR_ABL_P190_BAIXO,"23,82",BCR-ABL_190_BAIXO,"24,57",BCR_ABL_P190_BAIXO,"23,87"
BCR_ABL_P190_BAIXO,"25,03",BCR-ABL_190_BAIXO,"25,4",BCR_ABL_P190_BAIXO,"24,13"
BCR_ABL_P190_BAIXO,24,BCR-ABL_190_BAIXO,"24,61",BCR_ABL_P190_BAIXO,"23,01"
BCR_ABL_P210_ALTO,"30,14",BCR-ABL_210_ALTO,"32,94",BCR_ABL_P210_ALTO,"31,29"
BCR_ABL_P210_ALTO,"31,81",BCR-ABL_210_ALTO,"31,9",BCR_ABL_P210_ALTO,31
BCR_ABL_P210_ALTO,"31,01",BCR-ABL_210_ALTO,"32,54",BCR_ABL_P210_ALTO,"30,48"
BCR_ABL_P210_BAIXO,"25,41",BCR-ABL_210_BAIXO,"25,45",BCR_ABL_P210_BAIXO,"24,61"
BCR_ABL_P210_BAIXO,"24,95",BCR-ABL_210_BAIXO,"25,78",BCR_ABL_P210_BAIXO,"23,59"
BCR_ABL_P210_BAIXO,"25,24",BCR-ABL_210_BAIXO,"25,72",BCR_ABL_P210_BAIXO,"24,78"
CBFB_MYH11_ALTO,"30,1",CBFB-MYH11_ALTO,"30,83",CBFB_MYH11_ALTO,"30,12"
CBFB_MYH11_ALTO,"30,31",CBFB-MYH11_ALTO,"30,61",CBFB_MYH11_ALTO,"31,4"
CBFB_MYH11_ALTO,"29,46",CBFB-MYH11_ALTO,"30,32",CBFB_MYH11_ALTO,"30,48"
CBFB_MYH11_BAIXO,"24,15",CBFB-MYH11_BAIXO,"23,23",CBFB_MYH11_BAIXO,"23,94"
CBFB_MYH11_BAIXO,"22,91",CBFB-MYH11_BAIXO,"22,91",CBFB_MYH11_BAIXO,"24,27"
CBFB_MYH11_BAIXO,"22,99",CBFB-MYH11_BAIXO,"22,98",CBFB_MYH11_BAIXO,"23,62"
KMT2A_MLLT1_ALTO,"34,62",KMT2A-MLLT1_ALTO,"35,6",KMT2A_MLLT1_ALTO,35
KMT2A_MLLT1_ALTO,"34,2",KMT2A-MLLT1_ALTO,"35,03",KMT2A_MLLT1_ALTO,"34,88"
KMT2A_MLLT1_ALTO,"34,43",KMT2A-MLLT1_ALTO,"34,36",KMT2A_MLLT1_ALTO,"34,49"
KMT2A_MLLT1_BAIXO,"27,8",KMT2A-MLLT1_BAIXO,"27,1",KMT2A_MLLT1_BAIXO,"24,88"
KMT2A_MLLT1_BAIXO,"25,9",KMT2A-MLLT1_BAIXO,"26,98",KMT2A_MLLT1_BAIXO,"27,28"
KMT2A_MLLT1_BAIXO,"25,22",KMT2A-MLLT1_BAIXO,"26,21",KMT2A_MLLT1_BAIXO,"27,55"
KMT2A_MLLT10_ALTO,0,KMT2A-MLLT10_ALTO,"37,53",KMT2A_MLLT10_ALTO,0
KMT2A_MLLT10_ALTO,0,KMT2A-MLLT10_ALTO,0,KMT2A_MLLT10_ALTO,0
KMT2A_MLLT10_ALTO,0,KMT2A-MLLT10_ALTO,0,KMT2A_MLLT10_ALTO,0
KMT2A_MLLT10_BAIXO,"27,42",KMT2A-MLLT10_BAIXO,"27,54",KMT2A_MLLT10_BAIXO,"28,78"
KMT2A_MLLT10_BAIXO,"28,26",KMT2A-MLLT10_BAIXO,"28,2",KMT2A_MLLT10_BAIXO,"28,92"
