FUSÃO,60°C,62°C,65°C
ABL1_ALTO,"32,81","34,43","33,96"
ABL1_ALTO,"33,67","34,64",34
ABL1_ALTO,"34,03","34,48","33,73"
ABL1_BAIXO,"26,82","27,22","26,86"
ABL1_BAIXO,"26,69","27,12","26,94"
ABL1_BAIXO,"26,79","26,95","27,38"
BCR_ABL_P190_ALTO,"30,67","32,23","30,39"
BCR_ABL_P190_ALTO,"31,31","30,85","30,16"
BCR_ABL_P190_ALTO,"32,18","30,62","31,53"
BCR_ABL_P190_BAIXO,"23,82","24,57","23,87"
BCR_ABL_P190_BAIXO,"25,03","25,4","24,13"
BCR_ABL_P190_BAIXO,24,"24,61","23,01"
BCR_ABL_P210_ALTO,"30,14","32,94","31,29"
BCR_ABL_P210_ALTO,"31,81","31,9",31
BCR_ABL_P210_ALTO,"31,01","32,54","30,48"
BCR_ABL_P210_BAIXO,"25,41","25,45","24,61"
BCR_ABL_P210_BAIXO,"24,95","25,78","23,59"
BCR_ABL_P210_BAIXO,"25,24","25,72","24,78"
CBFB_MYH11_ALTO,"30,1","30,83","30,12"
CBFB_MYH11_ALTO,"30,31","30,61","31,4"
CBFB_MYH11_ALTO,"29,46","30,32","30,48"
CBFB_MYH11_BAIXO,"24,15","23,23","23,94"
CBFB_MYH11_BAIXO,"22,91","22,91","24,27"
CBFB_MYH11_BAIXO,"22,99","22,98","23,62"
KMT2A_MLLT1_ALTO,"34,62","35,6",35
KMT2A_MLLT1_ALTO,"34,2","35,03","34,88"
KMT2A_MLLT1_ALTO,"34,43","34,36","34,49"
KMT2A_MLLT1_BAIXO,"27,8","27,1","24,88"
KMT2A_MLLT1_BAIXO,"25,9","26,98","27,28"
KMT2A_MLLT1_BAIXO,"25,22","26,21","27,55"
KMT2A_MLLT10_ALTO,0,"37,53",0
KMT2A_MLLT10_ALTO,0,0,0
KMT2A_MLLT10_ALTO,0,0,0
KMT2A_MLLT10_BAIXO,"27,42","27,54","28,78"
KMT2A_MLLT10_BAIXO,"28,26","28,2","28,92"
KMT2A_MLLT10_BAIXO,"28,11","27,89","28,48"
KMT2A_MLLT3_ALTO,"34,01","32,63","34,36"
KMT2A_MLLT3_ALTO,"33,31","34,34","36,27"
KMT2A_MLLT3_ALTO,"30,37","35,08","36,41"
KMT2A_MLLT3_BAIXO,"22,96","28,42","26,93"
KMT2A_MLLT3_BAIXO,"28,15","28,53","28,76"
KMT2A_MLLT3_BAIXO,"27,58","28,26","28,89"
PML_RARA_ALTO,"29,48","32,02","30,33"
PML_RARA_ALTO,"29,51","30,05","30,39"
PML_RARA_ALTO,31,"29,9","28,84"
PML_RARA_BAIXO,"21,73","22,08","23,08"
PML_RARA_BAIXO,"23,49","24,09","21,51"
PML_RARA_BAIXO,"22,54","22,23","21,97"
RUNX1_RUNX1T1_ALTO,"30,99","31,1","32,03"
RUNX1_RUNX1T1_ALTO,"30,5","31,47","31,57"
RUNX1_RUNX1T1_ALTO,"30,68","31,45","31,54"
RUNX1_RUNX1T1_BAIXO,"24,8","25,33","24,54"
RUNX1_RUNX1T1_BAIXO,"24,15","24,21","24,68"
RUNX1_RUNX1T1_BAIXO,"23,43","23,85","24,93"
