fusão,60°C,62°C,65°C
ABL1_ALTO,"33,5","34,52","33,9"
ABL1_BAIXO,"26,77","27,1","27,06"
BCR_ABL_P190_ALTO,"31,39","31,23","30,69"
BCR_ABL_P190_BAIXO,"24,28","24,86","23,67"
BCR_ABL_P210_ALTO,"30,99","32,46","30,92"
BCR_ABL_P210_BAIXO,"25,2","25,65","24,33"
CBFB_MYH11_ALTO,"29,96","30,59","30,67"
CBFB_MYH11_BAIXO,"23,35","23,04","23,94"
KMT2A_MLLT1_ALTO,"34,42",35,"34,79"
KMT2A_MLLT1_BAIXO,"26,31","26,76","26,57"
KMT2A_MLLT10_ALTO,0,0,0
KMT2A_MLLT10_BAIXO,"27,93","27,88","28,73"
KMT2A_MLLT3_ALTO,"32,56","34,2","35,68"
KMT2A_MLLT3_BAIXO,"26,23","28,4","28,19"
PML_RARA_ALTO,30,"30,66","29,85"
PML_RARA_BAIXO,"22,59","22,8","22,19"
RUNX1_RUNX1T1_ALTO,"30,72","31,34","31,71"
RUNX1_RUNX1T1_BAIXO,"24,13","24,46","24,72"
